event	event_label	time	line_id	landmark_label	landmark_type	relatum_label	relatum_type	relation_type	change_type	change_on	attribute_type	outdates	makes_effective
13	boulevard de courcelles || Ouverture || Ordonnance du Bureau des finances du 16 janvier 1789	1789-01-16	10063_ouverture	Boulevard de Courcelles	boulevard				transition	attribute	geometry
735	rue hervé guibert || Dénomination || Délibération municipale du 10 et 11 juin 2013	2013-06-11	15107_dénomination	Rue Hervé Guibert	rue				transition	attribute	name		rue Hervé Guibert
736	rue hervé guibert || Historique || Voie projetée dans le cadre du GPRU \"Plaisance-Porte de Vanves-Hôpital Broussais\" précédemment identifiée voie BS/14		15107_historique	Rue Hervé Guibert	rue				transition	attribute	name	voie BS/14	rue Hervé Guibert
737	rue huguette schwartz || Dénomination || Délibération municipale du 14 et 15 octobre 2013	2013-10-15	15115_dénomination	Rue Huguette Schwartz	rue				transition	attribute	name		rue Huguette Schwartz
738	rue huguette schwartz || Historique || Rue projetée dans le cadre du GPRU \"Plaisance- Porte de Vanves- Hôpital Broussais\" précédemment identifiée voie BV/14		15115_historique	Rue Huguette Schwartz	rue				transition	attribute	name	voie BV/14	rue Huguette Schwartz
739	rue severiano de heredia || Dénomination || Délibération municipale du 14 et 15 octobre 2013	2013-10-15	15118_dénomination	Rue Severiano de Heredia	rue				transition	attribute	name		rue Severiano de Heredia
740	rue severiano de heredia || Historique || Rue projetée dans le cadre de la ZAC \"Clichy-Batignolles - secteur Saussure\" et précédemment identifiée voie CF/17		15118_historique	Rue Severiano de Heredia	rue				transition	attribute	name	voie CF/17	rue Severiano de Heredia
741	cité traëger || Dénomination || Délibération municipale du 12 et 13 novembre 2013	2013-11-13	15130_dénomination	Cité Traëger	cité				transition	attribute	name		cité Traëger
742	cité traëger || Historique || Précédemment voie CE/18		15130_historique	Cité Traëger	cité				transition	attribute	name	voie CE/18	cité Traëger
743	rue maurice grimaud || Dénomination || Délibération municipale du 16, 17 et 18 décembre 2013	2013-12-18	15132_dénomination	Rue Maurice Grimaud	rue				transition	attribute	name		rue Maurice Grimaud
744	rue maurice grimaud || Historique || Voie aménagée dans le cadre du secteur Binet, et précédemment voie CM/18		15132_historique	Rue Maurice Grimaud	rue				transition	attribute	name	voie CM/18	rue Maurice Grimaud
745	placette jacques duhamel || Dénomination || Délibération municipale Du 26, 27 et 28 septembre 2016	2016-09-28	15138_dénomination	Placette Jacques Duhamel	place				transition	attribute	name		placette Jacques Duhamel
748	allée jean-jacques servan-schreiber || Dénomination || Délibération municipale Du 26, 27 et 28 septembre 2016	2016-09-28	15158_dénomination	Allée Jean-Jacques Servan-Schreiber	allée				transition	attribute	name		allée Jean-Jacques Servan-Schreiber
749	place monique antoine || Dénomination || Délibération municipale des 30, 31 janvier et 1er février 2017	2017-02	15200_dénomination	Place Monique Antoine	place				transition	attribute	name		place Monique Antoine
751	passage jacqueline giraud || Dénomination || Délibération municipale des 10, 11, 12 et 13 décembre 2018	2018-12-13	15242_dénomination	Passage Jacqueline Giraud	passage				transition	attribute	name		passage Jacqueline Giraud
752	passage jacqueline giraud || Historique || précédemment voie DT/12, réalisée sur le site de la caserne de Reuilly		15242_historique	Passage Jacqueline Giraud	passage				transition	attribute	name	voie DT/12	passage Jacqueline Giraud
753	allée mireille knoll || Dénomination || Délibération municipale des 11, 12, 13 et 14 juin 2019	2019-06-14	15295_dénomination	Allée Mireille Knoll	allée				transition	attribute	name		allée Mireille Knoll
754	place de jérusalem || Dénomination || Délibération municipale des 11, 12, 13 et 14 juin 2019	2019-06-14	15307_dénomination	Place de Jérusalem	place				transition	attribute	name		place de Jérusalem
755	rue catherine de la rochefoucauld || Dénomination || Délibération municipale des 6, 7 et 8 octobre 2020	2020-10-08	15369_dénomination	Rue Catherine de la Rochefoucauld	rue				transition	attribute	name		rue Catherine de la Rochefoucauld
757	rue catherine de la rochefoucauld || Historique || Antérieurement c'était la ruelle ou rue de la Tour des Dames (plan de Turgot)		15369_historique_2	Rue Catherine de la Rochefoucauld	rue				transition	attribute	name	rue de la Tour des Dames
759	rue catherine de la rochefoucauld || Historique || Elle a été prolongée jusqu'à la rue Jean-Baptiste Pigalle au commencement du XVIIIe siècle	C18	15369_historique_4	Rue Catherine de la Rochefoucauld	rue				transition	attribute	geometry
760	passage de l'île louviers || Dénomination || Décision municipale du 12 octobre 2021	2021-10-12	15398_dénomination	Passage de l'Île Louviers	passage				transition	attribute	name		passage de l'Île Louviers
761	passage de l'île louviers || Historique || Précédemment dénommée voie D/4		15398_historique	Passage de l'Île Louviers	passage				transition	attribute	name	voie D/4	passage de l'Île Louviers
762	place du professeur christian cabrol || Dénomination || Délibération municipale des 31 mai, 1er et 2 juin 2022	2022-06-02	15440_dénomination	Place du Professeur Christian Cabrol	place				transition	attribute	name		place du Professeur Christian Cabrol
763	villa exelmans || Dénomination || Décision municipale du 25 novembre 2024	2024-11-25	15672_dénomination	Villa Exelmans	villa				transition	attribute	name		villa Exelmans
764	villa exelmans || Historique || Précédemment voie C/16		15672_historique	Villa Exelmans	villa				transition	attribute	name	voie C/16	villa Exelmans
765	villa exelmans || Ouverture || Ouverte en 1926 (arr du 22 décembre 1925 modifié par les arr des 8 janvier et 26 mai 1926) dans un lotissement appartenant à la SCI Boileau-Exelmans	1926	15672_ouverture	Villa Exelmans	villa				transition	attribute	geometry
766	voie ed/12 || Dénomination || Décision de numérotage du 8 février 2024	2024-02-08	15678_dénomination	Voie ED/12	voie				transition	attribute	name		voie ED/12
767	rue michel blanc || Dénomination || Délibération municipale des 8, 9, 10 et 11 avril 2025	2025-04-11	15713_dénomination	Rue Michel Blanc	rue				transition	attribute	name		rue Michel Blanc
768	rue michel blanc || Historique || Précédemment partie de la rue du Parc Royal		15713_historique	Rue Michel Blanc	rue				appearance	landmark
768	rue michel blanc || Historique || Précédemment partie de la rue du Parc Royal		15713_historique	Rue du Parc Royal	rue				transition	attribute	geometry
769	rue michel blanc || Ouverture || Ouverte en 1563	1563	15713_ouverture	Rue Michel Blanc	rue				transition	attribute	geometry
770	rue abel hovelacque || Dénomination || Arrêté du 2 août 1899	1899-08-02	8784_dénomination	Rue Abel Hovelacque	rue				transition	attribute	name		rue Abel Hovelacque
771	rue abel hovelacque || Historique || Précédemment rue de Gentilly (décision ministérielle du 14 septembre 1829)	1829-09-14	8784_historique_1	Rue Abel Hovelacque	rue				transition	attribute	name	rue de Gentilly	rue Abel Hovelacque
775	rue abel rabaud || Classement || Décret du 1er mai 1899	1899-05	8786_classement	Rue Abel Rabaud	rue				classement	landmark
776	rue abel rabaud || Ouverture || Ouverte en 1892	1892	8786_ouverture	Rue Abel Rabaud	rue				transition	attribute	geometry
777	rue de l'agent bailly || Classement || Décret du 1er octobre 1899 (UP), le surplus (A)		8818_classement	Rue de l'Agent Bailly	rue				classement	landmark
779	rue de l'agent bailly || Dénomination || Arrêté du 5 avril 1904	1904-04-05	8818_dénomination	Rue de l'Agent Bailly	rue				transition	attribute	name		rue de l'Agent Bailly
780	rue de l'agent bailly || Historique || Précédemment passage Rodier		8818_historique_1	Rue de l'Agent Bailly	rue				transition	attribute	name	passage Rodier	rue de l'Agent Bailly
781	rue de l'agent bailly || Historique || Le tronçon A était antérieurement une partie de l'impasse Rodier, dénommée, avant 1877, impasse de l'Ecole	1877	8818_historique_2	Impasse de l'École	impasse				transition	attribute	name	impasse de l'École	impasse Rodier
782	rue de l'agent bailly || Ouverture || Décret du 1er octobre 1899 (UP), sur une longueur de 28 m environ à partir de la rue Milton (B)	1899-10	8818_ouverture	Rue de l'Agent Bailly	rue				transition	attribute	geometry
783	rue albert malet || Classement || Arrêté du 5 mai 1961	1961-05-05	8843_classement	Rue Albert Malet	rue				classement	landmark
784	rue albert malet || Dénomination || Voie dénommée en 1933	1933	8843_dénomination	Rue Albert Malet	rue				transition	attribute	name		rue Albert Malet
786	rue albert malet || Ouverture || Ouverte en 1933	1933	8843_ouverture	Rue Albert Malet	rue				transition	attribute	geometry
787	rue albert willemetz || Dénomination || Arrêté municipal du 30 août 1978	1978-08-30	8844_dénomination	Rue Albert Willemetz	rue				transition	attribute	name		rue Albert Willemetz
789	rue albert willemetz || Historique || Elle avait été provisoirement dénommée AW/20		8844_historique_2	Rue Albert Willemetz	rue				transition	attribute	name	voie AW/20	rue Albert Willemetz
790	avenue albert ier de monaco || Dénomination || Arrêté du 22 janvier 1932	1932-01-22	8846_dénomination	Avenue Albert Ier de Monaco	avenue				transition	attribute	name		avenue Albert Ier de Monaco
791	rue albinoni || Classement || Arrêté municipal du 15 mai 1995	1995-05-15	8856_classement	Rue Albinoni	rue				classement	landmark
792	rue albinoni || Dénomination || Arrêté municipal du 16 décembre 1991	1991-12-16	8856_dénomination	Rue Albinoni	rue				transition	attribute	name		rue Albinoni
794	rue albinoni || Historique || Elle avait été provisoirement dénommée BF/12		8856_historique_2	Rue Albinoni	rue				transition	attribute	name	voie BF/12	rue Albinoni
795	villa alexandre ribot || Classement || Arrêté municipal du 1er mars 1990	1990-03	8870_classement	Villa Alexandre Ribot	villa				classement	landmark
796	villa alexandre ribot || Ouverture || Ouverte en 1923	1923	8870_ouverture	Villa Alexandre Ribot	villa				transition	attribute	geometry
797	pont alexandre iii || Classement || Arrêté ministériel du 22 juillet 1988, dans la voirie parisienne (ponts)	1988-07-22	8871_classement	Pont Alexandre III	pont				classement	landmark
798	pont alexandre iii || Dénomination || Décret du 4 octobre 1896	1896-10-04	8871_dénomination	Pont Alexandre III	pont				transition	attribute	name		pont Alexandre III
800	rue d'alleray || Classement || Décret du 23 mai 1863 (largeur : 10 m), dans la voirie parisienne	1863-05-23	8898_classement_1	Rue d'Alleray	rue				classement	landmark
801	rue d'alleray || Classement || Arrêté du 29 août 1837 (largeur : 6 m), dans la voirie de l'ancienne commune de Vaugirard	1837-08-29	8898_classement_2	Rue d'Alleray	rue				classement	landmark
802	rue d'alleray || Dénomination || Décret du 24 août 1864	1864-08-24	8898_dénomination	Rue d'Alleray	rue				transition	attribute	name		rue d'Alleray
805	rue d'amboise || Dénomination || Lettres patentes du 14 octobre 1780	1780-10-14	8926_dénomination	Rue d'Amboise	rue				transition	attribute	name		rue d'Amboise
806	rue d'amboise || Ouverture || Lettres patentes du 14 octobre 1780 (largeur : 25 pieds)	1780-10-14	8926_ouverture	Rue d'Amboise	rue				transition	attribute	geometry
807	rue des amiraux || Classement || Arrêté du 14 mai 1935, entre les rues des Poissonniers et Boinod (A)	1935-05-14	8946_classement	Rue des Amiraux	rue				classement	landmark
808	rue des amiraux || Dénomination || Arrêté du 23 août 1926, partie M Arrêté du 10 novembre 1873, le surplus	1926-08-23	8946_dénomination	Rue des Amiraux	rue				transition	geometry	name		rue des Amiraux
809	rue des amiraux || Historique || Précédemment, rue et impasse des Vosges, et impasse de Clignancourt (partie B)		8946_historique	Rue des Amiraux	rue				transition	attribute	geometry
809	rue des amiraux || Historique || Précédemment, rue et impasse des Vosges, et impasse de Clignancourt (partie B)		8946_historique	Rue des Vosges	rue				transition	attribute	geometry
809	rue des amiraux || Historique || Précédemment, rue et impasse des Vosges, et impasse de Clignancourt (partie B)		8946_historique	Impasse des Vosges	rue				transition	attribute	geometry
810	rue des amiraux || Ouverture || Décret du 18 février 1922 (UP), sur une longueur de 106 m environ à partir de la rue de Clignancourt (M)	1922-02-18	8946_ouverture_1	Rue des Amiraux	rue				transition	attribute	geometry
811	rue des amiraux || Ouverture || l'ouverture de ce tronçon a englobé l'impasse de Clignancourt		8946_ouverture_2	Impasse de Clignancourt	impasse				disappearance	landmark
811	rue des amiraux || Ouverture || l'ouverture de ce tronçon a englobé l'impasse de Clignancourt		8946_ouverture_2	Rue des Amiraux	rue				transition	attribute	geometry
812	rue ampère || Dénomination || Décret du 2 mars 1864	1864-03-02	8948_dénomination	Rue Ampère	rue				transition	attribute	name		rue Ampère
813	rue ampère || Numérotation || Arrêté du 15 octobre 1885	1885-10-15	8948_numérotation	Rue Ampère	rue				numerotation	landmark
814	rue ampère || Ouverture || Décret du 30 novembre 1862 (UP)	1862-11-30	8948_ouverture	Rue Ampère	rue				transition	attribute	geometry
815	rue amyot || Dénomination || Décret du 27 février 1867	1867-02-27	8955_dénomination	Rue Amyot	rue				transition	attribute	name		rue Amyot
816	rue amyot || Historique || Précédemment rue du Puits qui parle		8955_historique_1	Rue Amyot	rue				transition	attribute	name	rue du Puits qui parle	rue Amyot
819	cité annibal || Classement || Arrêté municipal du 25 avril 1994	1994-04-25	8994_classement	Cité Annibal	cité				classement	landmark
820	cité annibal || Dénomination || Arrêté du 1er février 1877	1877-02	8994_dénomination	Cité Annibal	cité				transition	attribute	name		cité Annibal
821	cité annibal || Historique || Précédemment cité Napoléon		8994_historique	Cité Annibal	cité				transition	attribute	name	cité Napoléon	cité Annibal
822	rue antonin mercié || Classement || Arrêté du 11 octobre 1932	1932-10-11	9014_classement	Rue Antonin Mercié	rue				classement	landmark
823	rue antonin mercié || Dénomination || Arrêté du 30 avril 1929	1929-04-30	9014_dénomination	Rue Antonin Mercié	rue				transition	attribute	name		rue Antonin Mercié
825	rue antonin mercié || Numérotation || Arrêté du 19 décembre 1931	1931-12-19	9014_numérotation	Rue Antonin Mercié	rue				numerotation	landmark
826	rue antonin mercié || Ouverture || Ouverte en 1929	1929	9014_ouverture	Rue Antonin Mercié	rue				transition	attribute	geometry
827	rue d'arcole || Dénomination || Décision ministérielle du 13 février 1837	1837-02-13	9034_dénomination	Rue d'Arcole	rue				transition	attribute	name		rue d'Arcole
828	rue d'arcole || Historique || L'ancienne rue d'Arcole avait été formée par la réunion de deux rues existant déjà au XIIIe siècle		9034_historique_1	Rue d'Arcole (ancienne)	rue				appearance	landmark
828	rue d'arcole || Historique || L'ancienne rue d'Arcole avait été formée par la réunion de deux rues existant déjà au XIIIe siècle		9034_historique_1		rue				disappearance	landmark
828	rue d'arcole || Historique || L'ancienne rue d'Arcole avait été formée par la réunion de deux rues existant déjà au XIIIe siècle		9034_historique_1		rue				disappearance	landmark
829	rue d'arcole || Historique || la rue du Chevet Saint-Landry (précédemment rue de la Couronne) et la rue Saint-Pierre aux Boeufs ou Saint-Père à Beus		9034_historique_2	Rue du Chevet Saint-Landry	rue				transition	attribute	name	rue de la Couronne	rue du Chevet Saint-Landry
830	rue d'arcole || Historique || la rue d'Arcole actuelle a englobé vers 1865 le passage Sainte-Marine	1865	9034_historique_3	Passage Sainte-Marine	passage				disappearance	landmark
830	rue d'arcole || Historique || la rue d'Arcole actuelle a englobé vers 1865 le passage Sainte-Marine	1865	9034_historique_3	Rue d'Arcole	rue				transition	attribute	geometry
831	rue d'arcole || Numérotation || Arrêté du 26 juillet 1872	1872-07-26	9034_numérotation	Rue d'Arcole	rue				numerotation	landmark
832	villa armand || Classement || Arrêté municipal du 29 juin 1993	1993-06-29	9049_classement	Villa Armand	villa				classement	landmark
833	villa armand || Ouverture || Créée en 1901	1901	9049_ouverture	Villa Armand	villa				transition	attribute	geometry
834	rue armand gauthier || Classement || Arrêté du 9 juin 1931	1931-06-09	9053_classement	Rue Armand Gauthier	rue				classement	landmark
835	rue armand gauthier || Ouverture || Ouverte en 1906	1906	9053_ouverture	Rue Armand Gauthier	rue				transition	attribute	geometry
836	rue arsène houssaye || Classement || Décret du 23 octobre 1852	1852-10-23	9064_classement	Rue Arsène Houssaye	rue				classement	landmark
837	rue arsène houssaye || Dénomination || Arrêté du 10 juin 1897	1897-06-10	9064_dénomination	Rue Arsène Houssaye	rue				transition	attribute	name		rue Arsène Houssaye
839	rue arsène houssaye || Historique || La partie comprise entre les avenues des Champs Elysées et de Friedland (A) a été ouverte sous le nom d'avenue de Chateaubriand		9064_historique_2	Avenue de Chateaubriand	avenue				transition	attribute	name		avenue de Chateaubriand
840	rue arsène houssaye || Historique || elle a été prolongée en 1842 jusqu'à la rue Beaujon	1842	9064_historique_3	Rue Arsène Houssaye	rue				transition	attribute	geometry
841	rue arsène houssaye || Numérotation || Arrêté du 30 mars 1874	1874-03-30	9064_numérotation	Rue Arsène Houssaye	rue				numerotation	landmark
842	rue arsène houssaye || Ouverture || Ouverte en 1825, partie A	1825	9064_ouverture	Rue Arsène Houssaye	rue				transition	attribute	geometry
843	passage de l'atlas || Classement || Décret du 23 mai 1863, dans la voirie parisienne, entre la rue de l'Atlas, n° 10 bis, et la partie en retour d'équerre sur la rue de l'Atlas, n° 16 (A)	1863-05-23	9087_classement_1	Passage de l'Atlas	passage				classement	landmark
844	passage de l'atlas || Classement || Précédemment voie de l'ancienne commune de Belleville		9087_classement_2	Passage de l'Atlas	passage	Belleville	municipality	within	disappearance	relation
845	passage de l'atlas || Classement || Décret du 8 juillet 1875, le surplus de la voie (B)	1875-07-08	9087_classement_3	Passage de l'Atlas	passage				classement	landmark
846	passage de l'atlas || Dénomination || Arrêté du 1er février 1877	1877-02	9087_dénomination	Passage de l'Atlas	passage				transition	attribute	name		passage de l'Atlas
847	passage de l'atlas || Historique || Précédemment partie de l'impasse Rébeval dans le tronçon A et partie de la rue Richer dans la partie B		9087_historique_1	Passage de l'Atlas	passage				transition	attribute	geometry
847	passage de l'atlas || Historique || Précédemment partie de l'impasse Rébeval dans le tronçon A et partie de la rue Richer dans la partie B		9087_historique_1	Impasse Rebéval	impasse				transition	attribute	geometry
848	passage de l'atlas || Historique || L'impasse Rébeval était dénommée antérieurement impasse Saint-Laurent		9087_historique_2	Passage de l'Atlas	passage				transition	attribute	name	impasse Rébeval	impasse Saint-Laurent
849	passage de l'atlas || Numérotation || Arrêté du 10 mai 1878	1878-05-10	9087_numérotation	Passage de l'Atlas	passage				numerotation	landmark
850	cité aubry || Classement || Arrêté municipal du 15 avril 1991	1991-04-15	9095_classement	Cité Aubry	cité				classement	landmark
851	rue auguste maquet || Classement || Décret du 23 avril 1900	1900-04-23	9115_classement	Rue Auguste Maquet	rue				classement	landmark
852	rue auguste maquet || Dénomination || Arrêté du 2 août 1899	1899-08-02	9115_dénomination	Rue Auguste Maquet	rue				transition	attribute	name		rue Auguste Maquet
853	rue auguste maquet || Historique || Précédemment rue Cuvelier		9115_historique_1	Rue Auguste Maquet	rue				transition	attribute	name	rue Cuvelier	rue Auguste Maquet
855	rue auguste maquet || Numérotation || Note du directeur technique de la Voirie parisienne du 3 août 1953, n° 5	1953-08-03	9115_numérotation	Rue Auguste Maquet	rue				numerotation	landmark
856	rue auguste maquet || Ouverture || Ouverte en 1898	1898	9115_ouverture	Rue Auguste Maquet	rue				transition	attribute	geometry
857	rue auguste vacquerie || Dénomination || Arrêté du 29 juillet 1895	1895-07-29	9120_dénomination	Rue Auguste Vacquerie	rue				transition	attribute	name		rue Auguste Vacquerie
860	rue auguste vacquerie || Ouverture || Ordonnance du 18 mars 1836	1836-03-18	9120_ouverture_1	Rue Auguste Vacquerie	rue				transition	attribute	geometry
861	rue auguste vacquerie || Ouverture || Cette ordonnance fixait à 12 m la hauteur maxima des maisons en bordure de la voie		9120_ouverture_2	Rue Auguste Vacquerie	rue				transition	attribute	geometry
862	rue de bagnolet || Classement || Décret du 23 mai 1863, dans la voirie parisienne	1863-05-23	9148_classement_1	Rue de Bagnolet	rue				classement	landmark
864	rue de bagnolet || Dénomination || Arrêté du 2 avril 1868, entre le boulevard de Charonne et la place Saint-Blaise	1868-04-02	9148_dénomination	Rue de Bagnolet	rue				transition	attribute	name		rue de Bagnolet
865	rue de bagnolet || Historique || Précédemment, rue de Paris, entre le boulevard de Charonne et la place Saint-Blaise		9148_historique_1	Rue de Bagnolet	rue				transition	attribute	geometry		rue Louis Blanc
865	rue de bagnolet || Historique || Précédemment, rue de Paris, entre le boulevard de Charonne et la place Saint-Blaise		9148_historique_1	Rue de Paris	rue				disappearance	landmark			rue Louis Blanc
870	impasse baudricourt || Classement || Arrêté municipal du 26 juillet 1993	1993-07-26	9208_classement	Impasse Baudricourt	impasse				classement	landmark
871	impasse baudricourt || Dénomination || Nom donné en 1929	1929	9208_dénomination	Impasse Baudricourt	impasse				transition	attribute	name		impasse Baudricourt
873	rue bellart || Historique || Une partie de la rue a été supprimée lors du percement de l'avenue de Suffren (déc du 31 juillet 1867 [UP])	1867-07-31	9254_historique	Avenue de Suffren	avenue				transition	attribute	geometry
873	rue bellart || Historique || Une partie de la rue a été supprimée lors du percement de l'avenue de Suffren (déc du 31 juillet 1867 [UP])	1867-07-31	9254_historique	Rue Bellart	rue				transition	attribute	geometry
874	rue bellart || Numérotation || Arrêté du 23 septembre 1902	1902-09-23	9254_numérotation	Rue Bellart	rue				numerotation	landmark
875	boulevard de belleville || Classement || Décret du 23 mai 1863, dans la voirie parisienne	1863-05-23	9260_classement_1	Boulevard de Belleville	boulevard				classement	landmark
876	boulevard de belleville || Classement || Précédemment, voie de l'ancienne commune de Belleville		9260_classement_2	Boulevard de Belleville	boulevard	Belleville	municipality	within	classement	landmark
877	boulevard de belleville || Dénomination || Arrêté du 30 décembre 1864	1864-12-30	9260_dénomination	Boulevard de Belleville	boulevard				transition	attribute	name		boulevard de Belleville
885	rue de la bidassoa || Dénomination || Arrêté du 10 décembre 1878, partie A	1878-12-10	9330_dénomination_1	Rue de la Bidassoa	rue				transition	attribute	name		rue de la Bidassoa
886	rue de la bidassoa || Dénomination || Arrêté du 7 décembre 1900, partie B	1900-12-07	9330_dénomination_2	Rue de la Bidassoa	rue				transition	attribute	name		rue de la Bidassoa
889	rue de la bidassoa || Numérotation || Arrêté du 5 avril 1879, partie A	1879-04-05	9330_numérotation	Rue de la Bidassoa	rue				numerotation	landmark
890	rue de la bidassoa || Ouverture || Décret du 28 janvier 1876 (UP), partie B	1876-01-28	9330_ouverture	Rue de la Bidassoa	rue				transition	attribute	geometry
891	rue de bigorre || Classement || Décret du 5 décembre 1881	1881-12-05	9336_classement	Rue de Bigorre	rue				classement	landmark
892	rue de bigorre || Dénomination || Arrêté du 1er février 1877	1877-02	9336_dénomination	Rue de Bigorre	rue				transition	attribute	name		rue de Bigorre
893	rue blaise-desgoffe || Classement || Décret du 18 novembre 1907	1907-11-18	9349_classement	Rue Blaise-Desgoffe	rue				classement	landmark
894	rue blaise-desgoffe || Dénomination || Arrêté du 13 mars 1908 approuvé par décret du 10 avril 1908	1908-04-10	9349_dénomination	Rue Blaise-Desgoffe	rue				transition	attribute	name		rue Blaise-Desgoffe
896	rue blaise-desgoffe || Ouverture || Ouverte en 1904	1904	9349_ouverture	Rue Blaise-Desgoffe	rue				transition	attribute	geometry
897	villa des boers || Classement || Arrêté municipal du 9 août 1991	1991-08-09	9364_classement	Villa des Boers	villa				classement	landmark
898	villa des boers || Ouverture || Ouverte en 1902	1902	9364_ouverture	Villa des Boers	villa				transition	attribute	geometry
899	rue bonnet || Dénomination || Décret du 10 février 1875	1875-02-10	9390_dénomination	Rue Bonnet	rue				transition	attribute	name		rue Bonnet
900	rue bonnet || Historique || L'assiette initiale de la rue Bonnet comprise entre la rue Paul Abadie et le passage Saint-Jules a été intégrée à l'espace vert créé lors de l'aménagement de la Zac Ğ Moskova ğ		9390_historique_1	Rue Bonnet	rue				transition	attribute	geometry
903	rue bouchardon || Classement || Décret du 7 août 1867, sur une longueur de 97 m environ, à partir de la rue du Château d'Eau (A)	1867-08-07	9406_classement	Rue Bouchardon	rue				classement	landmark
904	rue bouchardon || Dénomination || Décret du 24 août 1864	1864-08-24	9406_dénomination	Rue Bouchardon	rue				transition	attribute	name		rue Bouchardon
905	rue bouchardon || Historique || Précédemment, cul-de-sac ou impasse de la Pompe		9406_historique	Rue Bouchardon	rue				transition	attribute	name	impasse de la Pompe	rue Bouchardon
906	rue bouchardon || Ouverture || La partie A a été ouverte vers 1854, en prolongement de l'ancienne impasse de la Pompe	1854	9406_ouverture	Rue Bouchardon	rue				transition	attribute	geometry
907	rue bouchut || Classement || Décret du 23 janvier 1903	1903-01-23	9408_classement	Rue Bouchut	rue				classement	landmark
908	rue bouchut || Dénomination || Arrêté du 7 décembre 1900	1900-12-07	9408_dénomination	Rue Bouchut	rue				transition	attribute	name		rue Bouchut
910	rue bouchut || Numérotation || Arrêté du 23 septembre 1902	1902-09-23	9408_numérotation	Rue Bouchut	rue				numerotation	landmark
911	rue bouchut || Ouverture || Ouverte en 1900	1900	9408_ouverture	Rue Bouchut	rue				transition	attribute	geometry
912	rue camille blaisot || Dénomination || Arrêté du 21 mai 1956	1956-05-21	9571_dénomination	Rue Camille Blaisot	rue				transition	attribute	name		rue Camille Blaisot
914	rue camille blaisot || Ouverture || Ouverte en 1956	1956	9571_ouverture	Rue Camille Blaisot	rue				transition	attribute	geometry
915	rue de campo-formio || Dénomination || Décision ministérielle du 29 mars 1851	1851-03-29	9581_dénomination	Rue de Campo-Formio	rue				transition	attribute	name		rue de Campo-Formio
916	rue de campo-formio || Historique || Précédemment, petite rue d'Austerlitz, plus anciennement, rue des Etroites Ruelles		9581_historique_1	Rue de Campo-Formio	rue				transition	attribute	name	petite rue d'Austerlitz	rue de Campo-Formio
916	rue de campo-formio || Historique || Précédemment, petite rue d'Austerlitz, plus anciennement, rue des Etroites Ruelles		9581_historique_1	Rue de Campo-Formio	rue				transition	attribute	name	rue des Etroites Ruelles	petite rue d'Austerlitz
919	rue de campo-formio || Numérotation || Arrêté du 16 juin 1893	1893-06-16	9581_numérotation	Rue de Campo-Formio	rue				numerotation	landmark
920	rue cannebière || Classement || Décret du 6 décembre 1920	1920-12-06	9590_classement	Rue Cannebière	rue				classement	landmark
921	rue du cardinal mercier || Classement || Arrêté du 15 février 1966	1966-02-15	9619_classement	Rue du Cardinal Mercier	rue				classement	landmark
923	rue du cardinal mercier || Historique || Avant 1926, c'était la rue Nouvelle	1926	9619_historique_2	Rue du Cardinal Mercier	rue				transition	attribute	name	rue Nouvelle
924	rue du cardinal mercier || Ouverture || Ouverte en 1879	1879	9619_ouverture	Rue du Cardinal Mercier	rue				transition	attribute	geometry
925	passage du champ marie || Historique || Une partie du passage, sur une longueur de 300 m environ, a été supprimée lors du prolongement de la rue Belliard en 1906	1906	9707_historique	Passage du Champ Marie	passage				transition	attribute	geometry
925	passage du champ marie || Historique || Une partie du passage, sur une longueur de 300 m environ, a été supprimée lors du prolongement de la rue Belliard en 1906	1906	9707_historique	Rue Belliard	rue				transition	attribute	geometry
926	rue champollion || Dénomination || Décret du 27 février 1867	1867-02-27	9708_dénomination	Rue Champollion	rue				transition	attribute	name		rue Champollion
927	rue champollion || Historique || Cette voie existait en 1254, elle fut successivement dénommée vicus Coementariorium, vicus Lathomorum, rue Le Masson, rue aux Etuves, rue des Maçons Sorbonne		9708_historique_1	Rue Champollion	rue				transition	attribute	name	vicus Coementariorium	vicus Lathomorum
929	place charles bernard || Classement || Décret du 23 mai 1863, dans la voirie parisienne	1863-05-23	9752_classement_1	Place Charles Bernard	place				classement	landmark
930	place charles bernard || Classement || Précédemment voie de l'ancienne commune de Montmartre		9752_classement_2	Place Charles Bernard	place	Montmartre	municipality	within	disappearance	relation
931	place charles bernard || Dénomination || Arrêté du 25 juillet 1934	1934-07-25	9752_dénomination	Place Charles Bernard	place				transition	attribute	name		place Charles Bernard
932	place charles bernard || Historique || Précédemment, partie des rues Duhesme et Letort		9752_historique	Rues Duhesme et Letort	square				transition	attribute	geometry
933	place charles bernard || Numérotation || Arrêté du 4 octobre 1934	1934-10-04	9752_numérotation	Place Charles Bernard	place				numerotation	landmark
934	passage charles dallery || Classement || Arrêté du 14 janvier 1933	1933-01-14	9757_classement	Passage Charles Dallery	passage				classement	landmark
935	passage charles dallery || Dénomination || Décret du 10 novembre 1877, confirmé par arrêté du 20 mai 1933	1877-11-10	9757_dénomination	Passage Charles Dallery	passage				transition	attribute	name		passage Charles Dallery
936	passage charles dallery || Historique || Précédemment, passage Vaucanson		9757_historique_1	Passage Charles Dallery	passage				transition	attribute	name	passage Vaucanson	Boulevard du Palais
